affordability  $ pos $  while , there are flaws with the machine , the xtra gets five stars because of its affordability .  but  i hope it 's because it 's new and they are not out yet , but being without a remote is hard . 
case  $ neg $  - sound quality : excellent , everything you would expect from this company .  but  also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . 
use  $ pos $  - the unit is easy to use and intuitive .  but  this player is an overall disappointment with a couple of big flaws that potential buyers should be wary of ; and all readers need to know about a third party software company that resolves virtually all of the creative mediasource file transfer issues . 
player  $ neg $  - the unit is easy to use and intuitive .  but  this player is an overall disappointment with a couple of big flaws that potential buyers should be wary of ; and all readers need to know about a third party software company that resolves virtually all of the creative mediasource file transfer issues . 
uploading  $ pos $  - uploading music is quick and easy .  but  1. creative mediasource software is ok to rip , catalog & burn music if you are starting from scratch ; but i used musicmatch to rip my cds before i bought the zen ( 278 cds ; 3,400 tracks ; 12.5 gb of music all ripped at 128bps ) and guess what ? 
software  $ neg $  - uploading music is quick and easy .  but  1. creative mediasource software is ok to rip , catalog & burn music if you are starting from scratch ; but i used musicmatch to rip my cds before i bought the zen ( 278 cds ; 3,400 tracks ; 12.5 gb of music all ripped at 128bps ) and guess what ? 
software  $ pos $  although the supplied software can be annoying at times , on whole it is excellent .  but  2 . despite most reviewers giving kudos to the zen for music quality , i experienced a flaw using eax . 
eax  $ neg $  although the supplied software can be annoying at times , on whole it is excellent .  but  2 . despite most reviewers giving kudos to the zen for music quality , i experienced a flaw using eax . 
scroll  $ pos $  as often mentioned , the scroll tab is average , however , not difficult to use or horrible .  but  creative are * the * sound people for computers , i can 't understand why eax would introduce static . 
eax  $ neg $  as often mentioned , the scroll tab is average , however , not difficult to use or horrible .  but  creative are * the * sound people for computers , i can 't understand why eax would introduce static . 
screen  $ pos $  the screen is large , defined , and easy to read , and the silver unit is naturally cool .  but  3 . mediasource is an application with serious user interface flaws . 
mediasource  $ neg $  the screen is large , defined , and easy to read , and the silver unit is naturally cool .  but  3 . mediasource is an application with serious user interface flaws . 
battery  $ pos $  - the replacable battery is great since once it eventually wears out ( as all lithium batteries do ) , you will be able to buy another easily .  but  4 .the zen * stores * data files , but does not allow a folder structure nor does it allow documents to be opened or programs to be launched from its disk ( they must be copied to another hard drive to be launched ) . 
folder structure  $ neg $  - the replacable battery is great since once it eventually wears out ( as all lithium batteries do ) , you will be able to buy another easily .  but  4 .the zen * stores * data files , but does not allow a folder structure nor does it allow documents to be opened or programs to be launched from its disk ( they must be copied to another hard drive to be launched ) . 
battery life  $ pos $  also , the nomad 's 14 hours of battery life versus 8 is handy .  but  in other words , the zen is not a convenient data storage device ; only buy the capacity you need for your music collection ( see point 1. for some sizing information ) . 
storage  $ neg $  also , the nomad 's 14 hours of battery life versus 8 is handy .  but  in other words , the zen is not a convenient data storage device ; only buy the capacity you need for your music collection ( see point 1. for some sizing information ) . 
player  $ pos $  this player is an ideal purchase .  but  but this is * not documented * in the zen manual - neither the hard copy nor the cd version . 
manual  $ neg $  this player is an ideal purchase .  but  but this is * not documented * in the zen manual - neither the hard copy nor the cd version . 
player  $ pos $  i have no problem using the player itself and i feel it is a very good player .  but  the pc-side software can be goofy and takes a little getting used to but it 's not as bad as some reviewers have indicated . 
software  $ neg $  i have no problem using the player itself and i feel it is a very good player .  but  the pc-side software can be goofy and takes a little getting used to but it 's not as bad as some reviewers have indicated . 
player  $ pos $  i have the software working fine now and the mp3 player is fantastic .  but  - the software that came with it was tough to load . 
software  $ neg $  i have the software working fine now and the mp3 player is fantastic .  but  - the software that came with it was tough to load . 
player  $ pos $  so once i worked out the problem with the software this mp3 player is worth the money it cost .  but  the top did not fit well into the unit . ( felt defective ) 
top  $ neg $  so once i worked out the problem with the software this mp3 player is worth the money it cost .  but  the top did not fit well into the unit . ( felt defective ) 
zx  $ pos $  i 'm very pleased with my zx so here 's a quick review .  but  - the cover that came with it did n't fit very well 
cover  $ neg $  i 'm very pleased with my zx so here 's a quick review .  but  - the cover that came with it did n't fit very well 
sound quality  $ pos $  the zx boasts superior sound quality than the ipod , however it compromises a bit of the unit 's size in doing so .  but  - the flywheel you use for most of the navigation was n't in tightly and it was uneven as far as the amount of pressure to make it engage . 
flywheel  $ neg $  the zx boasts superior sound quality than the ipod , however it compromises a bit of the unit 's size in doing so .  but  - the flywheel you use for most of the navigation was n't in tightly and it was uneven as far as the amount of pressure to make it engage . 
lcd  $ pos $  the lcd is larger than the previous model , the nx , and has a bright blue backlight which illuminates the screen more successfully than the nx 's green backlight did .  but  - this did not feel like quality construction and i was n't sure how long it would last . 
construction  $ neg $  the lcd is larger than the previous model , the nx , and has a bright blue backlight which illuminates the screen more successfully than the nx 's green backlight did .  but  - this did not feel like quality construction and i was n't sure how long it would last . 
scroll wheel  $ pos $  the scroll wheel is easy to use and works great for me , however many have complained that the wheel is cumbersome and difficult to operate .  but  the construction of the player is the cheesiest i have ever seen -- the front panel refused to clip in correctly , leaving a noticeable gap between the panel and base of the player . 
construction  $ neg $  the scroll wheel is easy to use and works great for me , however many have complained that the wheel is cumbersome and difficult to operate .  but  the construction of the player is the cheesiest i have ever seen -- the front panel refused to clip in correctly , leaving a noticeable gap between the panel and base of the player . 
sound  $ pos $  the sound is excellent as one would suspect from a creative product .  but  i 'm not willing to accept shoddy construction on something i paid over 250 dollars for . 
construction  $ neg $  the sound is excellent as one would suspect from a creative product .  but  i 'm not willing to accept shoddy construction on something i paid over 250 dollars for . 
eax  $ pos $  the included eax support is useful at times , especially when you listen to a variety of genres , as it will adjust the equalizer for you which can be a big hassle .  but  i 've had this thing just over a month and the headphone jack has already come loose . 
headphone jack  $ neg $  the included eax support is useful at times , especially when you listen to a variety of genres , as it will adjust the equalizer for you which can be a big hassle .  but  i 've had this thing just over a month and the headphone jack has already come loose . 
signal to noise ratio  $ pos $  the signal to noise ratio ( the ratio of detectable , useful data to unusable garbage in , say , a radio wave ; a larger stn ratio is better ) is nice and high at 98 decibles , and it should be noted that apple refuses to release the stn ratio of any of the ipods .  but  i fully expect it to go bad again in the same or some other way in the next 6 months because , as other reviewers have pointed out , the construction is pretty flimsy . 
construction  $ neg $  the signal to noise ratio ( the ratio of detectable , useful data to unusable garbage in , say , a radio wave ; a larger stn ratio is better ) is nice and high at 98 decibles , and it should be noted that apple refuses to release the stn ratio of any of the ipods .  but  i fully expect it to go bad again in the same or some other way in the next 6 months because , as other reviewers have pointed out , the construction is pretty flimsy . 
software  $ pos $  the software has n't been a hassle for me at all .  but  like other reviewers , installation was hell . 
installation  $ neg $  the software has n't been a hassle for me at all .  but  like other reviewers , installation was hell . 
price  $ pos $  lastly , the price is fantastic :  but  it took several days of attempts before things finally " worked " again and i have n't a clue why . 
things  $ neg $  lastly , the price is fantastic :  but  it took several days of attempts before things finally " worked " again and i have n't a clue why . 
software  $ pos $  i uploaded the drivers and new software in 15 minutes - no crashes or problems .  but  my gut tells me the nomad will in the long run be , at best , a 40gb portable hard drive , albeit one on which i can 't create folders , or , at worst , a very expensive lesson in companies never to buy products from again ( i have their audigy sound card and find it in many ways equally frustrating ) . 
nomad  $ neg $  i uploaded the drivers and new software in 15 minutes - no crashes or problems .  but  my gut tells me the nomad will in the long run be , at best , a 40gb portable hard drive , albeit one on which i can 't create folders , or , at worst , a very expensive lesson in companies never to buy products from again ( i have their audigy sound card and find it in many ways equally frustrating ) . 
usb 2.0  $ pos $  usb 2.0 - very fast  but  i will never buy a creative product again . 
creative product  $ neg $  usb 2.0 - very fast  but  i will never buy a creative product again . 
sound  $ pos $  but the sound is very good ( and loud ) and works well on my portable speakers .  but  1 ) player is not plug and play - need to install nomad explorer first and mediasource to transfer files and i had to be patient as i was used to winxp detecting the player and dragging and dropping the music files into it . 
plug and play  $ neg $  but the sound is very good ( and loud ) and works well on my portable speakers .  but  1 ) player is not plug and play - need to install nomad explorer first and mediasource to transfer files and i had to be patient as i was used to winxp detecting the player and dragging and dropping the music files into it . 
recharger  $ pos $  and for those that are intrested the recharger works anywhere in the world ( and is quite small ).  but  2 ) music organization is based on id3 ( by genre , artist , album , etc. ) and this can be a problem for older downloaded music files with missing or incorrect id3 information . 
id3  $ neg $  and for those that are intrested the recharger works anywhere in the world ( and is quite small ).  but  2 ) music organization is based on id3 ( by genre , artist , album , etc. ) and this can be a problem for older downloaded music files with missing or incorrect id3 information . 
scroll  $ pos $  the scroll button seems ok , i have no problems with it .  but  4 ) no fm or voice recording - these would have been nice extras . 
fm  $ neg $  the scroll button seems ok , i have no problems with it .  but  4 ) no fm or voice recording - these would have been nice extras . 
use  $ pos $  all in all suprisingly easy to use .  but  6 ) the case occludes the display screen when it is closed . 
case  $ neg $  all in all suprisingly easy to use .  but  6 ) the case occludes the display screen when it is closed . 
sound quality  $ pos $  lots of flaws , but exceptional sound quality , hd size , and price make it a good buy .  but  the only thing i do n't like about this is the cover does suck . 
cover  $ neg $  lots of flaws , but exceptional sound quality , hd size , and price make it a good buy .  but  the only thing i do n't like about this is the cover does suck . 
sound  $ pos $  excellent sound - i found the music reproduced faithfully through the jukebox .  but  the software sucks . 
software  $ neg $  excellent sound - i found the music reproduced faithfully through the jukebox .  but  the software sucks . 
transfer  $ pos $  transfer through windows explorer - windows recognizes the jukebox as an additional hard disk , so it allows you to simply drag and drop files from windows explorer to a folder for the nomad .  but  also the feature to automatically put in the song information is n't always accurate . 
feature  $ neg $  transfer through windows explorer - windows recognizes the jukebox as an additional hard disk , so it allows you to simply drag and drop files from windows explorer to a folder for the nomad .  but  also the feature to automatically put in the song information is n't always accurate . 
click buttons  $ pos $  simple click buttons , back buttons volume and display are very easy to read , access and use .  but  i 've had this thing for less than a month , treated it quite well , never dropped it , and the headphone jack is all screwed up . 
headphone jack  $ neg $  simple click buttons , back buttons volume and display are very easy to read , access and use .  but  i 've had this thing for less than a month , treated it quite well , never dropped it , and the headphone jack is all screwed up . 
interface  $ pos $  i have found that the interface on the nomad is very easy to use if you have a basic knowledge of a computer .  but  software definitely sucks , hangs up my notebook about half the time , but i do n't mind buying notmad . 
software  $ neg $  i have found that the interface on the nomad is very easy to use if you have a basic knowledge of a computer .  but  software definitely sucks , hangs up my notebook about half the time , but i do n't mind buying notmad . 
product  $ pos $  i have had no problem what-so-ever with this product .  but  i am annoyed that the player 's not automatically recognized as a hard drive . 
player  $ neg $  i have had no problem what-so-ever with this product .  but  i am annoyed that the player 's not automatically recognized as a hard drive . 
software  $ pos $  the software installed flawlessly and without any problems on my windows 2k machine .  but  i was willing to live with the larger size ( inconvenient on the road ) but the durability was a big zero . 
durability  $ neg $  the software installed flawlessly and without any problems on my windows 2k machine .  but  i was willing to live with the larger size ( inconvenient on the road ) but the durability was a big zero . 
battery life  $ pos $  the battery life seems good , takes very lttle time to charge , it uploads mp3s quickly and there is no delay between songs .  but  always carried it in a case in by briefcase but one day the hard drive just zapped . 
hard drive  $ neg $  the battery life seems good , takes very lttle time to charge , it uploads mp3s quickly and there is no delay between songs .  but  always carried it in a case in by briefcase but one day the hard drive just zapped . 
navigation  $ pos $  took me a few tries to get use to the navigation , but it 's a very user friendly player imo .  but  minor complaints : 1 ) even though the music is sorted via id3 tag on the player , the option to search for music contained in a folder is unavailable . 
folder  $ neg $  took me a few tries to get use to the navigation , but it 's a very user friendly player imo .  but  minor complaints : 1 ) even though the music is sorted via id3 tag on the player , the option to search for music contained in a folder is unavailable . 
player  $ pos $  i have n't messed with the firmware at all , the player worked perfect for me right out of the box .  but  3 ) with mediasource being so easy , i found no use for the bundled nomad explorer software . 
nomad explorer  $ neg $  i have n't messed with the firmware at all , the player worked perfect for me right out of the box .  but  3 ) with mediasource being so easy , i found no use for the bundled nomad explorer software . 
product  $ pos $  all-in-all , this is another excellent creative product .  but  first , the sound quality is okay , but ( as at least one other reviewer has mentioned ) the eax can cause audio interference after about 30 minutes . 
eax  $ neg $  all-in-all , this is another excellent creative product .  but  first , the sound quality is okay , but ( as at least one other reviewer has mentioned ) the eax can cause audio interference after about 30 minutes . 
product  $ pos $  i would recommend this product to anyone .  but  the toggle button that is used to scroll is poorly designed and does not work well . 
scroll  $ neg $  i would recommend this product to anyone .  but  the toggle button that is used to scroll is poorly designed and does not work well . 
software  $ pos $  many people have written about the software being its one downfall , personally i have n't had a single problem with the software , i 'm running windows me .  but  the general button placement is not very user friendly . 
button  $ neg $  many people have written about the software being its one downfall , personally i have n't had a single problem with the software , i 'm running windows me .  but  the general button placement is not very user friendly . 
software  $ pos $  the software runs smooth , it 's nice to look at , it 's very organized , easy to follow and makes things very simple .  but  third , the poor design continues with the case . 
case  $ neg $  the software runs smooth , it 's nice to look at , it 's very organized , easy to follow and makes things very simple .  but  third , the poor design continues with the case . 
player  $ pos $  the player is fast and sounds great , it also has many options like slowing or speeding up the music , or making it sound like you 're hearing the music in a huge auditorium .  but  my biggest complaint is the battery life or lack there of . 
battery life  $ neg $  the player is fast and sounds great , it also has many options like slowing or speeding up the music , or making it sound like you 're hearing the music in a huge auditorium .  but  my biggest complaint is the battery life or lack there of . 
battery  $ pos $  the battery lasts very long when playing music , but writing files to the player drains the battery fast , so you need to have it plugged into an outlet when sending files .  but  the nomad zen could use a little sturdier construction like the archos jukeboxes or some kind of shock resistant case . 
construction  $ neg $  the battery lasts very long when playing music , but writing files to the player drains the battery fast , so you need to have it plugged into an outlet when sending files .  but  the nomad zen could use a little sturdier construction like the archos jukeboxes or some kind of shock resistant case . 
software  $ pos $  the software could n't be better and the mp3 player works like a dream , i could n't give this anything but a 5 , i wish there was a 6 .  but  at the very least , a sturdier more protective carrying case would be nice . 
case  $ neg $  the software could n't be better and the mp3 player works like a dream , i could n't give this anything but a 5 , i wish there was a 6 .  but  at the very least , a sturdier more protective carrying case would be nice . 
product  $ pos $  well i have to say that this product is very good i mean it might be a little big but it still fits in your pocket .  but  battery life is about 1/4 of that advertised , no operators manual available for any of the nomad zen players ( on or off-line ) , occasional software lockups , replacement battery is expensive 
battery life  $ neg $  well i have to say that this product is very good i mean it might be a little big but it still fits in your pocket .  but  battery life is about 1/4 of that advertised , no operators manual available for any of the nomad zen players ( on or off-line ) , occasional software lockups , replacement battery is expensive 
product  $ pos $  well surely this is a product that i recommend someone in getting rather than any other mp3 player ( at that size and the price ) .  but  creative zen feedback suffers from construction quality , poor product support , difficulty of using the scroll wheel and reasonably consistent feedback about problems with the headphone jack . 
construction  $ neg $  well surely this is a product that i recommend someone in getting rather than any other mp3 player ( at that size and the price ) .  but  creative zen feedback suffers from construction quality , poor product support , difficulty of using the scroll wheel and reasonably consistent feedback about problems with the headphone jack . 
battery life  $ pos $  it hasnt gone below the second notch ( i charge mine whenever i 'm at home and not using it ) , so the battery life seems fine ( so far ).  but  what is added in functionality ( battery replacement ) detracts in build quality as the face plate is prone to popping off . 
build  $ neg $  it hasnt gone below the second notch ( i charge mine whenever i 'm at home and not using it ) , so the battery life seems fine ( so far ).  but  what is added in functionality ( battery replacement ) detracts in build quality as the face plate is prone to popping off . 
backlight  $ pos $  the big backlight makes things easy to see , and the writing is big enough for people to see .  but  feedback on creative 's product support is universally poor ; this is not limited to the zen , it applies to all the company 's products . 
support  $ neg $  the big backlight makes things easy to see , and the writing is big enough for people to see .  but  feedback on creative 's product support is universally poor ; this is not limited to the zen , it applies to all the company 's products . 
eax  $ pos $  my favorite thing about the nomad is the eax feature .  but  the scroll wheel is finicky ; it works most of the time but there is a learning curve for pressing it just right ; new users say they have 50 % - 75 % success rate ; some find it so frustrating that they just return the device . 
scroll wheel  $ neg $  my favorite thing about the nomad is the eax feature .  but  the scroll wheel is finicky ; it works most of the time but there is a learning curve for pressing it just right ; new users say they have 50 % - 75 % success rate ; some find it so frustrating that they just return the device . 
sound quality  $ pos $  sound quality is amazing. i was expecting worse , but its really good ( especially if your files have good sound quality ) .  but  the creative software is awkward / difficult to use and just plain does n't load on some computers . 
software  $ neg $  sound quality is amazing. i was expecting worse , but its really good ( especially if your files have good sound quality ) .  but  the creative software is awkward / difficult to use and just plain does n't load on some computers . 
price  $ pos $  while the ease of use was very impressive , i was put off by the price -- about  but  enough people have reported that their headphone jack does n't work after a month of using the device to believe that creative has some inbuilt manufacturing or quality control problem . 
headphone jack  $ neg $  while the ease of use was very impressive , i was put off by the price -- about  but  enough people have reported that their headphone jack does n't work after a month of using the device to believe that creative has some inbuilt manufacturing or quality control problem . 
nomad  $ pos $  i have had the nomad jukebox for about three weeks now , and i am very happy with it .  but  i did n't abuse it , i charged it every day , but the headphone jack just sort of fizzled out . 
headphone jack  $ neg $  i have had the nomad jukebox for about three weeks now , and i am very happy with it .  but  i did n't abuse it , i charged it every day , but the headphone jack just sort of fizzled out . 
storage capacity  $ pos $  the storage capacity is great for me --  but  the software , mediasource , cannot work on my pc . ( laptop , intel p4-2.0 , xp os ) . 
mediasource  $ neg $  the storage capacity is great for me --  but  the software , mediasource , cannot work on my pc . ( laptop , intel p4-2.0 , xp os ) . 
product  $ pos $  the bottom line for me is that i am very happy with this product .  but  in fact , each of my creative mp3 players had software problem in the first place . 
software  $ neg $  the bottom line for me is that i am very happy with this product .  but  in fact , each of my creative mp3 players had software problem in the first place . 
software  $ pos $  a lot of people complain about the creative software , but i actually find creative mediasource organizer to have some strengths over itunes .  but  in short , this player is good at size , value , hardware design but really bad at its software 
size  $ neg $  a lot of people complain about the creative software , but i actually find creative mediasource organizer to have some strengths over itunes .  but  in short , this player is good at size , value , hardware design but really bad at its software 
shuttle  $ pos $  the zen is an outstanding way to shuttle music between sources , you can 't do this on the ipod ( except for a cumbersome work-around using the ipod as a hard drive instead of a player ) .  but  the one and most major thing that i was dissapointed with , in this player , is the battery life . 
battery life  $ neg $  the zen is an outstanding way to shuttle music between sources , you can 't do this on the ipod ( except for a cumbersome work-around using the ipod as a hard drive instead of a player ) .  but  the one and most major thing that i was dissapointed with , in this player , is the battery life . 
sync  $ pos $  second , the " automatic " sync on creative lets you review the songs before it begins its transfer .  but  the panel seems like it will come off very easily as other people have said . 
panel  $ neg $  second , the " automatic " sync on creative lets you review the songs before it begins its transfer .  but  the panel seems like it will come off very easily as other people have said . 
player  $ pos $  the zen serves as a back-up device as well as a player . 
player  $ neg $  the player has its minor glitches like for example when i turn it on , 60 percent of the time , it sais , shutting down , which means i have to turn off , and turn it on again , which is not to my likings . 
software  $ pos $  third , creative software allows you to keep two windows open to look at both the content on the player and the computer .  but  the sound is great even with the supplied earbuds -- but i find earbuds uncomfortable so i use different headphones . 
sound  $ neg $  third , creative software allows you to keep two windows open to look at both the content on the player and the computer .  but  the sound is great even with the supplied earbuds -- but i find earbuds uncomfortable so i use different headphones . 
creative  $ pos $  for those of us that like to tinker , i think creative offers some advantages .  but  creative software stinks . 
software  $ neg $  for those of us that like to tinker , i think creative offers some advantages .  but  creative software stinks . 
delete  $ pos $  if you bring up an album , but absolutely hate some of the tracks , the zen will allow you to delete that from the playing order .  but  short warranty ( 3 months , so i got the extended warranty at best buy ) , occasional freeze up ( easily fixed by popping out battery ) , somewhat flimsy navigation wheel . 
warranty  $ neg $  if you bring up an album , but absolutely hate some of the tracks , the zen will allow you to delete that from the playing order .  but  short warranty ( 3 months , so i got the extended warranty at best buy ) , occasional freeze up ( easily fixed by popping out battery ) , somewhat flimsy navigation wheel . 
this thing  $ pos $  i got this thing for christmas and i have been very happy with it ever since .  but  unfortunately , after loading 280 + songs , all i get now is " player either not connected or busy . " 
player  $ neg $  i got this thing for christmas and i have been very happy with it ever since .  but  unfortunately , after loading 280 + songs , all i get now is " player either not connected or busy . " 
software  $ pos $  the software is quick & easy to use & i found the entire process very easily mastered .  but  i took perfect care of this player and still it died in the week after the lousy 90 day warranty ended . 
player  $ neg $  the software is quick & easy to use & i found the entire process very easily mastered .  but  i took perfect care of this player and still it died in the week after the lousy 90 day warranty ended . 
the unit  $ pos $  the unit works great with my cassette adapter for my car & is also easily worked without taking your eyes off the road !  but  the software is not good either and the driver has trouble working with other sound blaster products , which is very dumb . 
software  $ neg $  the unit works great with my cassette adapter for my car & is also easily worked without taking your eyes off the road !  but  the software is not good either and the driver has trouble working with other sound blaster products , which is very dumb . 
unit  $ pos $  overall it is a great unit & hopefully creative labs or some other vendor will soon come out with some accessories for it .  but  once again , the sound is awesome , the batterly life is only 6-8 hours , and that is because all my music is 320 kbps which does affect the battery life . 
sound  $ neg $  overall it is a great unit & hopefully creative labs or some other vendor will soon come out with some accessories for it .  but  once again , the sound is awesome , the batterly life is only 6-8 hours , and that is because all my music is 320 kbps which does affect the battery life . 
size  $ pos $  this did n't bother me too much because it 's still a decent size .  but  however , my hard drive did fail , and i have not dropped it once . 
hard drive  $ neg $  this did n't bother me too much because it 's still a decent size .  but  however , my hard drive did fail , and i have not dropped it once . 
case  $ pos $  it comes with a good case that fits it snuggly .  but  typically , the problem is the headphone jack -- it was for me and many others . 
headphone jack  $ neg $  it comes with a good case that fits it snuggly .  but  typically , the problem is the headphone jack -- it was for me and many others . 
price  $ pos $  great price .  but  the headphone jack seems to be a major problem . 
headphone jack  $ neg $  great price .  but  the headphone jack seems to be a major problem . 
software  $ pos $  i thought the software was decent enough - it was n't complicated to learn at all .  but  the one other thing i observed while i had the nomad is that the front cover , which is taken off to have access to the battery , seemed to come undone very easily . 
front cover  $ neg $  i thought the software was decent enough - it was n't complicated to learn at all .  but  the one other thing i observed while i had the nomad is that the front cover , which is taken off to have access to the battery , seemed to come undone very easily . 
screen  $ pos $  now heres the stuff you should know starting with the good things : the screen is really big and the blue light in the back is perfect , fast as hell in music transfer , controls are easy to use after mastering the scroll button , great sound and ive heard many mp3 players , a ton of different equilizer type deals on here .  but  the headphone jack failure seems to occur just about when the warrranty period is to expire . 
headphone jack  $ neg $  now heres the stuff you should know starting with the good things : the screen is really big and the blue light in the back is perfect , fast as hell in music transfer , controls are easy to use after mastering the scroll button , great sound and ive heard many mp3 players , a ton of different equilizer type deals on here .  but  the headphone jack failure seems to occur just about when the warrranty period is to expire . 
case  $ pos $  but it comes with a tank of a case and if you cut a piece out where the screen is you can always keep it in the case and still access everything .  but  in that model the hard drive just died one morning before my class . 
hard drive  $ neg $  but it comes with a tank of a case and if you cut a piece out where the screen is you can always keep it in the case and still access everything .  but  in that model the hard drive just died one morning before my class . 
